team,league,manager,n,start,possession,field_tilt,passes_per_poss,pass_length,long_ball_share,directness,gk_short_share,cross_share,ppda,press_intensity,press_high_share,def_height,high_recoveries,counter_shots
Carpi,Serie A,Fabrizio Castori,27,2015-11-08,-1.645,-1.191,-1.498,0.909,1.385,2.653,-1.002,0.072,-0.113,0.916,-0.380,-0.045,-0.156,0.615
Sampdoria,Serie A,Walter Zenga,12,2015-08-23,-0.355,-1.479,0.058,0.979,0.245,-0.569,0.136,-1.341,0.537,-0.026,-1.555,-1.563,-1.289,0.718
Sampdoria,Serie A,Vincenzo Montella,26,2015-11-22,0.105,-0.033,-0.069,-0.040,-0.275,-0.252,0.879,-1.508,0.071,0.418,-0.096,0.024,-0.826,-0.961
Genoa,Serie A,Gian Piero Gasperini,38,2015-08-23,0.026,0.178,-0.435,-0.145,-0.161,0.174,-0.015,0.131,-0.287,1.353,-0.286,-0.245,-0.137,-0.781
Juventus,Serie A,Massimiliano Allegri,38,2015-08-23,0.964,1.169,1.298,-0.397,-1.064,-1.863,2.352,-0.268,-0.168,-0.131,1.039,2.123,1.206,0.369
Palermo,Serie A,Giuseppe Iachini,12,2015-08-23,-0.555,-0.406,-0.749,-0.406,0.141,0.107,0.035,1.418,1.727,0.213,-0.896,-0.307,0.685,-1.264
Palermo,Serie A,Davide Ballardini,7,2015-11-22,-1.005,-0.894,-1.107,-0.183,0.284,1.295,-0.705,0.250,-0.444,1.276,-0.571,0.447,1.625,0.394
Palermo,Serie A,Davide Ballardini,6,2016-04-17,-1.485,-0.873,-1.406,-0.904,-0.438,0.960,-1.291,0.832,0.822,-1.040,-1.998,1.132,-0.381,-2.906
Atalanta,Serie A,Edoardo Reja,38,2015-08-23,-0.247,-0.061,-0.584,0.080,0.300,0.420,-0.733,2.295,-0.580,0.752,-1.078,-0.090,-0.468,0.240
Levante UD,La Liga,Lucas Alcaraz,9,2015-08-23,-0.551,-0.873,-0.963,1.005,1.097,0.604,-0.657,0.717,1.428,-1.473,-1.175,-1.070,-0.432,-2.069
Levante UD,La Liga,Rubí,29,2015-10-31,-0.628,-1.007,-0.786,1.032,1.023,0.654,0.620,0.473,-0.224,-1.555,0.772,-0.440,-0.006,-0.816
Villarreal,La Liga,Marcelino,37,2015-08-23,-0.539,-0.750,-0.168,-0.200,-0.602,0.188,-0.400,-1.082,-0.267,-1.949,0.338,-0.559,-1.117,-0.363
Real Betis,La Liga,Pepe Mel,19,2015-08-23,-0.380,-0.254,-0.684,-0.476,0.023,0.566,-1.056,-0.673,-0.408,-1.032,-0.722,-0.331,0.568,0.353
Real Betis,La Liga,Juan Merino,19,2016-01-16,-0.563,-0.993,-0.665,-0.585,0.135,0.102,-0.523,-0.682,0.314,-0.771,-1.964,-1.428,-1.190,-0.247
Real Madrid,La Liga,Rafael Benítez,18,2015-08-23,1.177,1.344,1.504,-0.990,-1.065,-1.446,0.811,0.846,-0.543,-2.106,0.006,0.253,0.717,1.510
Real Madrid,La Liga,Zinédine Zidane,20,2016-01-09,1.301,1.354,1.541,-1.460,-1.227,-1.712,0.974,0.830,-0.924,-0.499,0.205,0.616,0.962,0.493
Sporting Gijón,La Liga,Abelardo,38,2015-08-23,-1.038,-1.198,-0.774,0.877,0.717,1.061,-1.002,1.032,0.004,-1.261,-0.562,-1.339,-0.926,-0.130
Barcelona,La Liga,Luis Enrique,38,2015-08-23,2.665,2.703,2.693,-1.528,-1.656,-2.428,2.894,-1.872,-1.710,0.588,2.226,2.329,1.127,0.685
Athletic Club,La Liga,Ernesto Valverde,36,2015-08-23,0.017,0.600,-0.141,0.724,0.680,0.496,-0.839,0.726,-0.753,-0.051,1.002,1.093,1.162,-0.508
Celta Vigo,La Liga,Eduardo Berizzo,38,2015-08-23,1.027,0.577,0.556,0.278,-0.344,-0.304,-0.038,-1.786,-1.869,1.070,-0.938,-0.322,0.252,1.310
Eibar,La Liga,José Luis Mendilibar,38,2015-08-24,-0.648,-0.114,-0.994,1.577,1.914,1.158,-1.410,1.028,-1.349,-0.356,1.743,0.901,0.910,-0.762
Granada,La Liga,José Ramón Sandoval,24,2015-08-24,-0.585,-0.773,-1.161,1.319,1.712,1.235,0.185,0.173,-1.641,-0.285,0.379,0.457,-0.059,2.260
Granada,La Liga,José González,9,2016-03-14,-1.202,-1.921,-0.838,1.390,1.499,0.662,-0.475,0.529,0.904,-1.642,-0.995,-1.665,-1.115,-0.724
